headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
3D32,NWTNHDD,2016-03-30 04:30:00,150204,1,-2.6,2016-03-30 04:35:41,2016-03-30 04:31:00,2.08333333333333,0.25
5K21,LNGSTCS,2016-03-30 04:26:00,150141,3,0.916666666666667,2016-03-30 04:34:00,2016-03-30 04:21:00,3.33333333333333,0.75
5D40,LNGSTCS,2016-03-30 04:21:00,156427,1,-3.88333333333333,2016-03-30 04:22:43,2016-03-30 04:18:00,0.833333333333333,0.25
5D40,LNGSTCS,2016-03-30 04:21:00,150141,1,-3.83333333333333,2016-03-30 04:22:45,2016-03-30 04:18:00,0.916666666666667,0.25
5N12,BLCKNCS,2016-03-30 04:00:00,150149,1,-4.15,2016-03-30 04:13:09,2016-03-30 04:09:00,0,0.166666666666667
3D32,NWTNHDD,2016-03-30 04:30:00,156464,1,-4.75,2016-03-30 04:35:45,2016-03-30 04:31:00,0,0.25
5S18,BLCKNCS,2016-03-30 04:22:00,158759,1,3.53333333333333,2016-03-30 04:28:00,2016-03-30 04:24:28,0,0.25
5S18,BLCKNCS,2016-03-30 04:22:00,158815,1,3.5,2016-03-30 04:28:00,2016-03-30 04:24:30,0,0.25
5B07,BLCKNCS,2016-03-30 04:39:00,150149,1,-1.31666666666667,2016-03-30 04:28:19,2016-03-30 04:27:00,0,1
5S18,BLCKNCS,2016-03-30 04:22:00,142091,1,2.43333333333333,2016-03-30 04:12:00,2016-03-30 04:09:34,0,0.25
5S18,BLCKNCS,2016-03-30 04:22:00,142028,1,2.45,2016-03-30 04:12:00,2016-03-30 04:09:33,0,0.25
5K21,LNGSTCS,2016-03-30 04:26:00,156427,3,0.95,2016-03-30 04:34:00,2016-03-30 04:21:00,3.41666666666667,0.75
5N12,BLCKNCS,2016-03-30 04:00:00,142091,6,-0.316666666666667,2016-03-30 04:30:54,2016-03-30 03:52:00,0.75,1
5N12,BLCKNCS,2016-03-30 04:00:00,142028,6,-0.3,2016-03-30 04:30:43,2016-03-30 03:52:00,0.625,1
3D32,NWTNHDD,2016-03-30 04:30:00,150228,20,-0.65,2016-03-30 05:56:04,2016-03-30 04:30:00,0.583333333333333,1
5A00,NWTNHDD,2016-03-30 04:34:00,150228,4,3.85,2016-03-30 04:40:00,2016-03-30 04:31:14,0.375,0.444444444444444
5A00,NWTNHDD,2016-03-30 04:34:00,156464,23,-0.75,2016-03-30 06:07:05,2016-03-30 04:35:00,0.833333333333333,1
5A00,NWTNHDD,2016-03-30 04:34:00,150134,4,3.63333333333333,2016-03-30 04:40:00,2016-03-30 04:31:17,0.416666666666667,0.444444444444444
3D32,NWTNHDD,2016-03-30 04:30:00,150134,20,-0.783333333333333,2016-03-30 05:56:07,2016-03-30 04:30:00,0.458333333333333,1
2E07,RCHDALE,2016-03-30 11:01:30,158758,3,0.666666666666667,2016-03-30 11:14:00,2016-03-30 11:10:20,1.66666666666667,0.3
5B07,BLCKNCS,2016-03-30 04:39:00,158815,1,2.5,2016-03-30 04:27:00,2016-03-30 04:24:30,0,1
5B07,BLCKNCS,2016-03-30 04:39:00,158759,1,2.53333333333333,2016-03-30 04:27:00,2016-03-30 04:24:28,0,1
